Vehicle type,Brand,Commercial type,Group number,License plate,Limit Periodic Inspection,Kilometer Periodic Inspection,Limit Additional Inspection,Kilometer Additional Inspection,Date Periodic Inspection,Date Additional Inspection,Comments
VUL,CITROEN,HY,2,5338 MF 93,23/05/03,,,,,,
VUL,CITROEN,C15 4 X 4,2,6211 XW,23/10/20,193 748,,193876,,,
VUL,CITROEN,BERLINGO,1,EH888SE,06/09/25,133 702,,,,,
VUL,CITROEN,BERLINGO,2,CZ979LV,08/08/24,176 092,02/07/21,,,,
VUL,CITROEN,JUMPER,1,AL 295 SG,18/05/22,192 419,18/05/24,,,,
VUL,CITROEN,JUMPER,2,AL 726 SF,20/08/25,187 581,23/06/22,,,,
VUL,PEUGEOT,207,,AN 261 DX,28/10/22,194 703,28/10/21,,,,
VUL,PEUGEOT,504,,6641 TY,16/05/20,120 409,16/05/19,,,,
VUL,PEUGEOT,BOXER,2,DD 912 CW,28/09/24,104 926,24/08/22,,,,
VUL,PEUGEOT,BOXER,3,CG 724 VD,06/11/21,136 572,06/11/21,,,,
VUL,PEUGEOT,PARTNER,1,BV 252 FD,17/09/25,185 497,23/11/22,,,,
VUL,RENAULT,MASTER,1,BC 993 DC,17/05/23,199 384,,192342,,,
VUL,RENAULT,MASTER,2,BC 178 PT,31/01/25,177 294,12/01/22,,,,
VUL,RENAULT,MASTER,3,CB 529 WM,03/08/24,147 907,29/09/23,149098,,,
VUL,RENAULT,MASTER,4,CD 934 EM,19/07/24,251 101,19/07/24,257979,,,
VUL,RENAULT,MASTER,5,EB 609 HR,09/02/24,62 208,22/09/23,76077,,,
VUL,RENAULT,MASTER,6,EC 033 LY,25/07/24,61 897,,,,,
VUL,RENAULT,MASCOTT 120,1,562 AMV 93,09/01/25,166 778,,,,,
VUL,RENAULT,MASCOTT 120,2,AL 408 RM,19/07/22,139 464,20/10/22,,,,
VUL,RENAULT,MASCOTT 130,4,CM 451 HH,06/11/25,122 736,19/07/24,,,,
VUL,LAND ROVER,88 Série 3 County,,3257 JA,20/10/22,61 392,20/10/21,,,,
VUL,LAND ROVER,Défender 300 TDI,1,5600 RY,18/10/24,97020,14/10/21,,,,
VUL,LAND ROVER,Défender 90 ,2,DR 484 TK,01/07/23,130086,01/07/22,,,,
VUL,LAND ROVER,Défender 110 ,3,DX 789 QZ,10/05/25,118784,,,,,
VUL,LAND ROVER,Défender 110 ,4,DS 354 MR,29/10/21,155 525,,163234,,,
VP,CITROEN,C5,,CK 112 RZ,29/09/24,211906,,,,,
VP,CITROEN,C6,,130 ASQ,26/06/20,127563,,,,,
VP,PEUGEOT,207,,BX 924 GT,20/12/24,202610,,,,,
